name,link
Dreamoon and WiFi,http://codeforces.com/problemset/problem/476/B
Minimum Difficulty,http://codeforces.com/problemset/problem/496/A
Power Sequence,http://codeforces.com/problemset/problem/1397/B
Alphabetic Removals,http://codeforces.com/problemset/problem/999/C
Slightly Decreasing Permutations,http://codeforces.com/problemset/problem/285/A
Accordion,http://codeforces.com/problemset/problem/1101/B
Tokitsukaze and Mahjong,http://codeforces.com/problemset/problem/1191/B
Magic Powder - 1,http://codeforces.com/problemset/problem/670/D1
Quasi-palindrome,http://codeforces.com/problemset/problem/863/A
Geometric Progression,http://codeforces.com/problemset/problem/567/C
